ID;Name;global_id;OnTerritoryOfMoscow;AdmArea;District;Address;Longitude_WGS84;Latitude_WGS84;ContactPhone;GraveType;ObjectArea;ObjectStatus;geoData
66;Люблинское кладбище;1712698;да;Юго-Восточный административный округ;район Люблино;Ставропольская улица, вл. 74А;37.780774;55.681443;(499) 784-02-71;урной в землю, гробом в землю;19;закрытое;{type=Point, coordinates=[37.780774, 55.681443]}
67;Маврино кладбище;1712699;да;Троицкий административный округ;поселение Кленовское;деревня Маврино;37.313905;55.286419;(495) 232-40-21;гробом в землю;5;закрытое;{type=Point, coordinates=[37.313905, 55.286419]}
68;Медведковское кладбище;1712700;да;Северо-Восточный административный округ;район Южное Медведково;Заповедная улица, владение 7А;37.637506;55.865318;(495) 211-49-64;урной в землю, гробом в землю;1.2;закрытое;{type=Point, coordinates=[37.637506, 55.865318]}
71;Никольское кладбище;1712701;да;Зеленоградский административный округ;район Матушкино;Зеленоград, Московский проспект;37.239828;55.998084;(499) 735-85-33;гробом в землю;0.4;закрытое;{type=Point, coordinates=[37.239828, 55.998084]}
72;Щербинское кладбище;1712702;нет;;;"Московская область, Подольский район, сельское поселение Стрелковское, 29 км автодороги М-2 ""Крым"", Щербинский проезд";37.618377;55.506016;(495) 232-40-21;урной в землю, гробом в землю;90;закрытое;{type=Point, coordinates=[37.618377, 55.506016]}
73;Николо-Архангельское (Центральное), Николо-Архангельское (Восточное) кладбище;1712703;нет;;;Московская область, Балашихинский район, с. Никольско-Архангельское ;37.891167;55.741716;(495) 791-05-39;урной в закрытый колумбарий, урной в землю, гробом в землю;140.6;закрытое;{type=Point, coordinates=[37.891167, 55.741716]}
76;Николо-Хованское-1 кладбище;1712705;да;Новомосковский административный округ;поселение Сосенское;поселение Сосенское, в районе Николо-Хованского кладбища;37.43054;55.60526;(495) 448-67-88;гробом в землю;5.3;закрытое;{type=Point, coordinates=[37.43054, 55.60526]}
77;Новогромово кладбище;1712706;да;Троицкий административный округ;поселение Вороновское;дер. Новогромово;37.24048;55.26129;(495) 232-40-21;гробом в землю;0.3;закрытое;{type=Point, coordinates=[37.24048, 55.26129]}
69;Митинское кладбище;1712707;нет;;;Московская область, Красногорский муниципальный район, сельское поселение Отрадненское, Пятницкое шоссе, 6-й км;37.347456;55.871545;(499) 650-75-10;урной в открытый колумбарий, урной в землю, гробом в землю;106.8;закрытое;{type=Point, coordinates=[37.347456, 55.871545]}
38;Донское кладбище;4089829;да;Южный административный округ;Донской район;Донская площадь, владение 1;37.599792;55.714219;(495) 954-12-89;урной в открытый колумбарий, урной в закрытый колумбарий, урной в землю, урной в саркофаг, гробом в землю;7;закрытое;{type=Point, coordinates=[37.599792, 55.714219]}
41;Зеленоградское (Центральное) кладбище;4856088;да;Зеленоградский административный округ;район Савёлки;Зеленоград, Проезд N 4921, дом 3, строение 1, 2;37.259296;55.984601;(499) 735-85-33;урной в открытый колумбарий, урной в землю, гробом в землю;23.7;закрытое;{type=Point, coordinates=[37.259296, 55.984601]}
