Address,Title
"Нижний Новгород, ул.Юпитерская, 4а",Детский сад №401
"Нижний Новгород, пр.Кораблестроителей, 43",Детский сад №402
"Нижний Новгород, ул.Ивлиева, 35/3",Детский сад №404
"Нижний Новгород, пр.Ленина, 26б",Детский сад №410
"Нижний Новгород, Сормовское ш., 18а",Детский сад №411
"Нижний Новгород, ул.Голованова, 43",Детский сад №412
"Нижний Новгород, ул.40 лет Октября, 21а",Детский сад №413
"Нижний Новгород, ул.Штеменко, 8",Детский сад №415
"Нижний Новгород, ул.Березовская, 106а",Детский сад №417
"Нижний Новгород, ул.Чугурина, 9",Детский сад №421
"Нижний Новгород, ул.Н.Сусловой, 3/3",Детский сад №423
"Нижний Новгород, ул.Авангардная, 14а",Детский сад №426
"Нижний Новгород, ул.Мончегорская, 17а, корп.5",Детский сад №429
"Нижний Новгород, ул.Даргомыжского, 1/1",Детский сад №430
"Нижний Новгород, ул.Фруктовая, 9а",Детский сад №432
"Нижний Новгород, ул.Есенина, 8а",Детский сад №433
"Нижний Новгород, ул.Корнилова, 12",Детский сад №434
"Нижний Новгород, ул.Тропинина, 5",Детский сад №435
"Нижний Новгород, пр.Ленина, 43/6",Детский сад №436
"Нижний Новгород, ул.Красных Зорь, 13а",Детский сад №437
"Нижний Новгород, ул.Акимова, 7",Детский сад №438
"Нижний Новгород, ул.Бринского, 5а",Детский сад №439
"Нижний Новгород, ул.Жукова, 7",Детский сад №440
"Нижний Новгород, ул.Ванеева, 120",Детский сад №441
"Нижний Новгород, ул.Голованова, 41а",Детский сад №442
"Нижний Новгород, ул.Акимова, 6",Детский сад №444
"Нижний Новгород, ул.Фруктовая, 11",Детский сад №445
"Нижий Новгород, Совхоз Доскино, ул.Береговая, 15",Детский сад №446
"Нижний Новгород, ул.Бринского, 2, корп.4",Детский сад №447
"Нижний Новгород, пр.Кораблестроителей, 32а",Детский сад №450
"Нижний Новгород, ул.Цветочная, 4",Детский сад №451
"Нижний Новгород, ул.Люкина, 7а","Детский сад №452, корпус №1"
"Нижний Новгород, Московское ш., 211а","Детский сад №452, корпус №2 (бывший детский сад №203)"
"Нижний Новгород, ул.Даргомыжского, 1/2","Детский сад №453, здание №1"
"Нижний Новгород, ул.Трамвайная, 83","Детский сад №453, здание №2"
"Нижний Новгород, ул.Героев Космоса, 34а",Детский сад №456
"Нижний Новгород, ул.Культуры, 12",Детский сад №457
"Нижний Новгород, ул.Макарова, 2/1",Детский сад №458
"Нижний Новгород, ул.Лопатина, 7а",Детский сад №459
"Нижний Новгород, к.п.Зеленый город, Агродом, 9",Детский сад №459 (бывший детский сад №478)
"Нижний Новгород, пр.Кораблестроителей, 46",Детский сад №460
"Нижний Новгород, ул.Макарова, 5/3",Детский сад №461
"Нижний Новгород, пр.Союзный, 4",Детский сад №464
"Нижний Новгород, Анкудиновское ш., 11а",Детский сад №465
"Нижний Новгород, б-р 60 лет Октября, 10",Детский сад №466
"Нижний Новгород, ул.Коммуны, 13",Детский сад №467
"Нижний Новгород, ул.Лопатина, 3/4",Детский сад №469
"Нижний Новгород, ул.Красных Зорь, 23а",Детский сад №470
"Нижний Новгород, ул.Генкиной, 20а","Детский сад №473, структурное подразделение школы №29"
"Нижний Новгород, ул.Гордеевская, 54а",Детский сад №476
"Нижний. Новгород, ул.Усилова, 8а",Детский сад №477
"Нижегородская обл., Богородский р-он, п.Новинки, ул.Магистральная, 3",Детский сад в ЖК Окский Берег
"Нижний Новгород, пр.Гагарина",Детский сад в ЖК Зенит
